INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2025.02.21,감자,15200,감자,0,특,20,20kg상자,68000,74000,71569,3840,"67,729(105.7%)","75,838(94.4%)","66,000(108.4%)"
2025.02.21,감자,15200,감자,1,상,20,20kg상자,30000,68000,48264,-9521,"57,785(83.5%)","65,549(73.6%)","57,064(84.6%)"
2025.02.21,감자,15200,감자,2,보통,20,20kg상자,18000,30000,24203,-2197,"26,400(91.7%)","36,255(66.8%)","36,757(65.8%)"
2025.02.21,감자,15200,감자,3,하,20,20kg상자,1500,18000,11633,655,"10,978(106%)","14,076(82.6%)","20,794(55.9%)"
2025.02.22,감자,15200,감자,0,특,20,20kg상자,74000,74000,74000,2431,"71,569(103.4%)","74,414(99.4%)","67,204(110.1%)"
2025.02.22,감자,15200,감자,1,상,20,20kg상자,65000,74000,69691,21427,"48,264(144.4%)","62,058(112.3%)","57,729(120.7%)"
2025.02.22,감자,15200,감자,2,보통,20,20kg상자,43000,65000,58211,34008,"24,203(240.5%)","33,566(173.4%)","36,725(158.5%)"
2025.02.22,감자,15200,감자,3,하,20,20kg상자,5000,43000,15066,3433,"11,633(129.5%)","13,327(113%)","21,776(69.2%)"
2025.02.24,감자,15200,감자,0,특,20,20kg상자,76000,81000,78527,4527,"74,000(106.1%)","73,529(106.8%)","76,168(103.1%)"
2025.02.24,감자,15200,감자,1,상,20,20kg상자,67000,76000,70942,1251,"69,691(101.8%)","62,338(113.8%)","59,128(120%)"
2025.02.24,감자,15200,감자,2,보통,20,20kg상자,25000,67000,40750,-17461,"58,211(70%)","37,675(108.2%)","37,738(108%)"
2025.02.24,감자,15200,감자,3,하,20,20kg상자,2000,25000,17209,2143,"15,066(114.2%)","13,478(127.7%)","23,198(74.2%)"
2025.02.25,감자,15200,감자,0,특,20,20kg상자,76000,81000,79333,806,"78,527(101%)","73,727(107.6%)","76,168(104.2%)"
2025.02.25,감자,15200,감자,1,상,20,20kg상자,70000,76000,73868,2926,"70,942(104.1%)","63,069(117.1%)","59,128(124.9%)"
2025.02.25,감자,15200,감자,2,보통,20,20kg상자,28000,70000,50173,9423,"40,750(123.1%)","38,345(130.8%)","37,738(133%)"
2025.02.25,감자,15200,감자,3,하,20,20kg상자,4000,28000,16617,-592,"17,209(96.6%)","14,122(117.7%)","23,198(71.6%)"
2025.02.26,감자,15200,감자,0,특,20,20kg상자,75000,78000,76619,-2714,"79,333(96.6%)","74,322(103.1%)","81,079(94.5%)"
2025.02.26,감자,15200,감자,1,상,20,20kg상자,62000,75000,68722,-5146,"73,868(93%)","64,262(106.9%)","65,220(105.4%)"
2025.02.26,감자,15200,감자,2,보통,20,20kg상자,23000,62000,40253,-9920,"50,173(80.2%)","40,139(100.3%)","35,929(112%)"
2025.02.26,감자,15200,감자,3,하,20,20kg상자,3000,23000,15791,-826,"16,617(95%)","14,624(108%)","19,946(79.2%)"
2025.02.27,감자,15200,감자,0,특,20,20kg상자,70000,71000,70789,-5830,"76,619(92.4%)","74,630(94.9%)","78,239(90.5%)"
2025.02.27,감자,15200,감자,1,상,20,20kg상자,63000,70000,66141,-2581,"68,722(96.2%)","64,879(101.9%)","68,528(96.5%)"
2025.02.27,감자,15200,감자,2,보통,20,20kg상자,27500,63000,46113,5860,"40,253(114.6%)","39,998(115.3%)","44,275(104.2%)"
2025.02.27,감자,15200,감자,3,하,20,20kg상자,8000,27500,18901,3110,"15,791(119.7%)","14,549(129.9%)","21,266(88.9%)"
2025.02.28,감자,15200,감자,0,특,20,20kg상자,68000,69000,68225,-2564,"70,789(96.4%)","75,140(90.8%)","80,242(85%)"
2025.02.28,감자,15200,감자,1,상,20,20kg상자,55000,68000,62348,-3793,"66,141(94.3%)","66,271(94.1%)","69,778(89.4%)"
2025.02.28,감자,15200,감자,2,보통,20,20kg상자,26500,55000,37967,-8146,"46,113(82.3%)","43,284(87.7%)","39,719(95.6%)"
2025.02.28,감자,15200,감자,3,하,20,20kg상자,5000,26500,17211,-1690,"18,901(91.1%)","15,870(108.4%)","22,718(75.8%)"
2025.03.01,감자,15200,감자,0,특,20,20kg상자,66000,66000,66000,-2225,"68,225(96.7%)","74,582(88.5%)","90,964(72.6%)"
2025.03.01,감자,15200,감자,1,상,20,20kg상자,65000,66000,65613,3265,"62,348(105.2%)","68,619(95.6%)","78,007(84.1%)"
2025.03.01,감자,15200,감자,2,보통,20,20kg상자,36000,65000,53728,15761,"37,967(141.5%)","45,578(117.9%)","46,861(114.7%)"
2025.03.01,감자,15200,감자,3,하,20,20kg상자,8000,36000,20491,3280,"17,211(119.1%)","16,799(122%)","21,200(96.7%)"
2025.03.03,감자,15200,감자,0,특,20,20kg상자,71000,71000,71000,5000,"66,000(107.6%)","73,249(96.9%)","90,964(78.1%)"
2025.03.03,감자,15200,감자,1,상,20,20kg상자,64000,71000,67945,2332,"65,613(103.6%)","67,939(100%)","78,007(87.1%)"
