INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2020.03.13,감자,15200,감자,3,하,20,20kg상자,1500,8500,5477,575,"4,902(111.7%)","5,529(99.1%)","9,481(57.8%)"
2020.03.14,감자,15200,감자,0,특,20,20kg상자,72000,75000,74339,760,"73,579(101%)","67,830(109.6%)","72,474(102.6%)"
2020.03.14,감자,15200,감자,1,상,20,20kg상자,35000,72000,52687,6716,"45,971(114.6%)","33,083(159.3%)","59,840(88%)"
2020.03.14,감자,15200,감자,2,보통,20,20kg상자,10500,35000,16755,2685,"14,070(119.1%)","11,884(141%)","24,174(69.3%)"
2020.03.14,감자,15200,감자,3,하,20,20kg상자,1000,10500,5503,26,"5,477(100.5%)","5,476(100.5%)","9,187(59.9%)"
2020.03.16,감자,15200,감자,0,특,20,20kg상자,75000,83000,81677,7338,"74,339(109.9%)","69,041(118.3%)","96,000(85.1%)"
2020.03.16,감자,15200,감자,1,상,20,20kg상자,19000,75000,38278,-14409,"52,687(72.7%)","36,261(105.6%)","59,720(64.1%)"
2020.03.16,감자,15200,감자,2,보통,20,20kg상자,12000,19000,14995,-1760,"16,755(89.5%)","12,714(117.9%)","20,223(74.1%)"
2020.03.16,감자,15200,감자,3,하,20,20kg상자,1000,12000,7171,1668,"5,503(130.3%)","5,336(134.4%)","11,027(65%)"
2020.03.17,감자,15200,감자,0,특,20,20kg상자,76000,78000,76998,-4679,"81,677(94.3%)","71,581(107.6%)","96,000(80.2%)"
2020.03.17,감자,15200,감자,1,상,20,20kg상자,52000,76000,63527,25249,"38,278(166%)","36,297(175%)","59,720(106.4%)"
2020.03.17,감자,15200,감자,2,보통,20,20kg상자,13500,52000,26322,11327,"14,995(175.5%)","13,205(199.3%)","20,223(130.2%)"
2020.03.17,감자,15200,감자,3,하,20,20kg상자,1000,13500,8443,1272,"7,171(117.7%)","5,581(151.3%)","11,027(76.6%)"
2020.03.18,감자,15200,감자,0,특,20,20kg상자,72000,77000,74652,-2346,"76,998(97%)","73,797(101.2%)","94,419(79.1%)"
2020.03.18,감자,15200,감자,1,상,20,20kg상자,31000,72000,51170,-12357,"63,527(80.5%)","42,383(120.7%)","56,725(90.2%)"
